"PROVINCIE","BEVOEGD GEZAG NUMMER","BRIN NUMMER","INSTELLINGSNAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","ONDERWIJSSTRUCTUUR","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","NODAAL GEBIED CODE","NODAAL GEBIED NAAM","RPA-GEBIED CODE","RPA-GEBIED NAAM","WGR-GEBIED CODE","WGR-GEBIED NAAM","COROPGEBIED CODE","COROPGEBIED NAAM","ONDERWIJSGEBIED CODE","ONDERWIJSGEBIED NAAM","RMC-REGIO CODE","RMC-REGIO NAAM"
"Friesland","40075","04FR","De Diken","Simmerdyk","1-A","8601ZP","SNEEK","1900","SUDWEST-FRYSLAN","Algemeen bijzonder","0515585801","www.dediken.nl","PRO","Simmerdyk","1-A","8601ZP","SNEEK","09","Sneek","04","Fryslân","05","Zuidwest-Friesland","05","Zuidwest-Friesland","03","Friesland","05","Zuid-West Friesland"
"Friesland","40075","25CR","Christelijke Scholengemeenschap Bogerman voor Lyceum Havo Mavo Vbo Lwoo","Hemdijk","2","8601XH","SNEEK","1900","SUDWEST-FRYSLAN","Protestants-Christelijk","0515482482","www.bogerman.nl","VBO/MAVO/HAVO/VWO","Postbus","172","8600AD","SNEEK","09","Sneek","04","Fryslân","05","Zuidwest-Friesland","05","Zuidwest-Friesland","03","Friesland","05","Zuid-West Friesland"
"Friesland","40075","25GB","Marne College voor Atheneum Havo Mavo Vbo Lwoo","Schoolstraat","1","8701DX","BOLSWARD","1900","SUDWEST-FRYSLAN","Samenwerking PC, RK","0515548222","www.marnecollege.nl","VBO/MAVO/HAVO/VWO","Postbus","54","8700AB","BOLSWARD","09","Sneek","04","Fryslân","05","Zuidwest-Friesland","05","Zuidwest-Friesland","03","Friesland","05","Zuid-West Friesland"
"Friesland","40078","25CM","Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro","Leerweg","2","9202LC","DRACHTEN","0090","SMALLINGERLAND","Protestants-Christelijk","0512305700","www.csgliudger.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","715","9200AS","DRACHTEN","07","Smallingerland","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","40336","25CV","Bornego College Chr. Scholengemeenschap voor VMBO, Havo, Atheneum en Gymnasium","Ds Kingweg","1","8446KZ","HEERENVEEN","0074","HEERENVEEN","Protestants-Christelijk","0513801800","www.bornego.nl","VBO/MAVO/HAVO/VWO","Postbus","597","8440AN","HEERENVEEN","08","Heerenveen","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41295","19LO","Linde College voor Atheneum Havo Mavo Vbo en Lwoo","Drafsportlaan","22","8472AS","WOLVEGA","0098","WESTSTELLINGWERF","Samenwerking RK, Alg. Bijz.","0561691700","www.lindecollege.nl","VBO/MAVO/HAVO/VWO","Postbus","170","8470AD","WOLVEGA","08","Heerenveen","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41347","01BE","Scholengemeenschap Ulbe Van Houten Christelijke SGM voor Vmbo","Hartman Sannesstraat","5","9076EB","ST.-ANNAPAROCHIE","1949","WAADHOEKE","Protestants-Christelijk","0518401447","www.csgulbevanhouten.nl","VBO/MAVO","Hartman Sannesstraat","5","9076EB","ST.-ANNAPAROCHIE","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","41347","02VC","Comenius Christelijke Scholengemeenschap voor Atheneum Havo Vmbo Lwoo Pro","Achter de Hoven","118","8933CR","LEEUWARDEN","0080","LEEUWARDEN","Protestants-Christelijk","0582347670","www.csg-comenius.nl","VBO/MAVO/HAVO/VWO/PRO","Achter de Hoven","118","8933CR","LEEUWARDEN","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","41347","14NS","Christelijke Scholengemeenschap A.M. van Schurman voor Havo Mavo Vbo","Cort van der Lindenstr","1","8802RX","FRANEKER","1949","WAADHOEKE","Protestants-Christelijk","0517395900","www.annamaria.nl","VBO/MAVO/HAVO","Cort van der Lindenstr","1","8802RX","FRANEKER","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","41347","14WI","Christelijk Gymnasium Beyers Naude","Gymnasiumstraat","36","8932GW","LEEUWARDEN","0080","LEEUWARDEN","Protestants-Christelijk","0582124471","www.cgbn.nl","VWO","Gymnasiumstraat","36","8932GW","LEEUWARDEN","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","41442","16FP","Regionale Scholengemeenschap Magister Alvinus voor Vwo Havo Mavo Vbo","Almastraat","5","8601EW","SNEEK","1900","SUDWEST-FRYSLAN","Openbaar","0515429760","www.rsg-sneek.nl","VBO/MAVO/HAVO/VWO","Postbus","341","8600AH","SNEEK","09","Sneek","04","Fryslân","05","Zuidwest-Friesland","05","Zuidwest-Friesland","03","Friesland","05","Zuid-West Friesland"
"Friesland","41490","15VQ","Stellingwerf College","Quadoelenweg","29","8431LN","OOSTERWOLDE FR","0085","OOSTSTELLINGWERF","Openbaar","0516568500","www.stellingwerfcollege.nl","VBO/MAVO/HAVO/VWO","Postbus","86","8430AB","OOSTERWOLDE FR","07","Smallingerland","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41750","05AC","Kei College voor mavo, vmbo en lwoo","Ds Kingweg","8","8446KZ","HEERENVEEN","0074","HEERENVEEN","Openbaar","0513657385","www.osg-sevenwolden.nl","VBO/MAVO","Postbus","592","8440AN","HEERENVEEN","08","Heerenveen","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41750","14FW","Openbare Scholengroep  voor VMBO, Havo, Atheneum en Gymnasium","Schans","100","8441AE","HEERENVEEN","0074","HEERENVEEN","Openbaar","0513657385","www.osgsevenwolden.nl","VBO/MAVO/HAVO/VWO","Postbus","592","8440AN","HEERENVEEN","08","Heerenveen","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41750","26KP","De Compagnie Praktijkonderwijs Sevenwolden","Buitenbaan","3","8441HB","HEERENVEEN","0074","HEERENVEEN","Openbaar","0513657385","www.sevenwolden.nl","PRO","Postbus","592","8440AN","HEERENVEEN","08","Heerenveen","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","41752","01WM","Burg Harmsma SGM voor VO Mavo Lhno en Lto","Hendrik Ringenoldusstr","3","8401PV","GORREDIJK","0086","OPSTERLAND","Openbaar","0513463455","www.bhs.frl","VBO/MAVO","Postbus","32","8400AA","GORREDIJK","07","Smallingerland","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","42606","05NE","PRO Dokkum","Birdaarderstraatweg","82","9101PK","DOKKUM","1970","NOARDEAST-FRYSLAN","Protestants-Christelijk","0519294137","www.prodokkum.nl","PRO","Postbus","66","9100AB","DOKKUM","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","42639","30UV","SvPO Hurdegaryp - Tjalling Koopmans College voor Vwo Havo en Mavo","Easter Omwei","7","9254GM","HURDEGARYP","0737","TYTSJERKSTERADIEL","RK,PC,GV,RE,EV,AN,HI,I,J,AB,HU","0511471712","www.svpo.nl","HAVO/VWO","Postbus","36026","1020MA","AMSTERDAM","10","Leeuwarden","04","Fryslân","06","Friesland-Oost","04","Noord-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","42765","19EO","VMBO ""De Jutter"" Vlieland","Lutinelaan","3","8899BD","VLIELAND","0096","VLIELAND","Openbaar","0562452772","www.dejutter.nl","MAVO","Lutinelaan","3","8899BD","VLIELAND","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","90897","02XQ","Inspecteur Boelensschool voor Mavo","Kerkelaantje","1","9166NB","SCHIERMONNIKOOG","0088","SCHIERMONNIKOOG","Samenwerking PC, Alg. Bijz.","0519531620","www.boelensschool.nl","VBO/MAVO","Postbus","66","9100AB","DOKKUM","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Gelderland","13554","03RR","Candea College Atheneum Havo Mavo Vmbo","Saturnus","1","6922LX","DUIVEN","0226","DUIVEN","Samenwerking PC, RK","0316367800","www.candea.nl","VBO/MAVO/HAVO/VWO","Postbus","141","6920AC","DUIVEN","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","05FF","Olympuscollege PC RK SGM voor Lyceum Havo Mavo","Olympus","11","6832EL","ARNHEM","0202","ARNHEM","Samenwerking PC, RK","0263202870","www.olympuscollege.nl","MAVO/HAVO/VWO","Postbus","30098","6803AB","ARNHEM","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","08PS","Symbion School voor Praktijkonderwijs","Hoge Witteveld","2","6942RD","DIDAM","1955","MONTFERLAND","Algemeen bijzonder","0316583880","www.symbion-vo.nl","PRO","Hoge Witteveld","2","6942RD","DIDAM","25","Doetinchem","12","Achterhoek","13","Oost-Gelderland","14","Achterhoek","08","Zuidelijke Achterhoek","13","Achterhoek"
"Gelderland","13554","12NW","Produs","Leidenweg","60","6843LD","ARNHEM","0202","ARNHEM","Openbaar","0263208830","www.produsarnhem.nl","PRO","Postbus","30064","6803AB","ARNHEM","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","16SK","Liemers College SGM voor LYC HAVO MAVO VBO LWOO","Heerenmaten","6","6904GZ","ZEVENAAR","0299","ZEVENAAR","Samenwerking PC, RK","0316583800","www.liemerscollege.nl","VBO/MAVO/HAVO/VWO","Postbus","412","6900AK","ZEVENAAR","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","20RM","Stedelijk Gymnasium Arnhem","Thorbeckestraat","17","6828TS","ARNHEM","0202","ARNHEM","Openbaar","0263209840","www.gymnasiumarnhem.nl","VWO","Thorbeckestraat","17","6828TS","ARNHEM","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","20TZ","Lorentz Groep","Groningensingel","1245","6835HZ","ARNHEM","0202","ARNHEM","Openbaar","0263202850","www.lorentzlyceum.nl","VBO/MAVO/HAVO/VWO","Groningensingel","1235","6835HZ","ARNHEM","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13554","25GL","Openb. SGM. Arnhem Noord. voor lyceum, havo, mavo en vbo","Bernhardlaan","49","6824LE","ARNHEM","0202","ARNHEM","Openbaar","0263209820","www.beekdallyceum.nl","VBO/MAVO/HAVO/VWO","Bernhardlaan","49","6824LE","ARNHEM","26","Arnhem","11","IJssel en Rijn","14","Arnhem/Nijmegen","15","Arnhem/Nijmegen","09","Arnhem en omstreken","14","Arnhem/Nijmegen"
"Gelderland","13693","16YV","Regionale Scholengemeenschap Pantarijn voor Lyc Havo Mavo Vbo Pro Lwoo","Hollandseweg","11","6706KN","WAGENINGEN","0289","WAGENINGEN","Openbaar","0317465855","www.pantarijn.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","257","6700AG","WAGENINGEN","29","Ede","10","De Vallei","16","Eem en Vallei","13","Veluwe","09","Arnhem en omstreken","16","Eem en Vallei"
"Gelderland","13709","19EW","Openbare Regionale Scholengemeenschap Lek en Linge voor atheneum havo vmbo lwoo","Multatulilaan","6","4103NM","CULEMBORG","0216","CULEMBORG","Openbaar","0345512833","www.lekenlinge.nl","VBO/MAVO/HAVO/VWO","Postbus","461","4100AL","CULEMBORG","33","Culemborg","14","Rivierenland","15","Rivierenland","16","Zuidwest-Gelderland","13","Utrecht en omstreken","15","Rivierenland"
"Gelderland","13739","17CK","Regionale Scholengemeenschap Slingerbos/Levant voor Ath Havo Mavo","Eisenhowerlaan","59","3844AS","HARDERWIJK","0243","HARDERWIJK","Openbaar","0341414484","www.rsgslingerbos.nl","VBO/MAVO/HAVO/VWO","Eisenhowerlaan","59","3844AS","HARDERWIJK","28","Harderwijk","08","Noordwest-Veluwe","17","Noordwest-Veluwe","13","Veluwe","10","Harderwijk-Amersfoort","17","Noordwest-Veluwe"
"Gelderland","28212","16NK","Vrije school Zutphen-Groningen","Weerdslag","14-A","7206BR","ZUTPHEN","0301","ZUTPHEN","Antroposofisch","0575538720","www.vszutphen.nl","MAVO/HAVO/VWO","Postbus","146","7200AC","ZUTPHEN","23","Zutphen","09","Stedendriehoek","11","Stedendriehoek","14","Achterhoek","07","Apeldoorn en midden-IJsselgebied","11","Stedendriehoek"
"Gelderland","31082","02RA","Katholieke Scholengemeenschap Veluws College voor Gymn Ath Havo Mavo en Vmbo","Waltersingel","130","7314NX","APELDOORN","0200","APELDOORN","Rooms-Katholiek","0553579825","www.veluwscollege.nl","VBO/MAVO/HAVO/VWO","Postbus","789","7301BA","APELDOORN","27","Apeldoorn","09","Stedendriehoek","11","Stedendriehoek","13","Veluwe","07","Apeldoorn en midden-IJsselgebied","11","Stedendriehoek"
